id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;produksi_padi;satuan;tahun
167;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;NOVEMBER;5973;TON GABAH KERING GILING;2018
168;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;DESEMBER;6200;TON GABAH KERING GILING;2018
169;32;JAWA BARAT;3215;KABUPATEN KARAWANG;JANUARI;37984;TON GABAH KERING GILING;2018
170;32;JAWA BARAT;3215;KABUPATEN KARAWANG;FEBRUARI;45670;TON GABAH KERING GILING;2018
171;32;JAWA BARAT;3215;KABUPATEN KARAWANG;MARET;81053;TON GABAH KERING GILING;2018
172;32;JAWA BARAT;3215;KABUPATEN KARAWANG;APRIL;82093;TON GABAH KERING GILING;2018
173;32;JAWA BARAT;3215;KABUPATEN KARAWANG;MEI;182670;TON GABAH KERING GILING;2018
174;32;JAWA BARAT;3215;KABUPATEN KARAWANG;JUNI;135087;TON GABAH KERING GILING;2018
175;32;JAWA BARAT;3215;KABUPATEN KARAWANG;JULI;69861;TON GABAH KERING GILING;2018
176;32;JAWA BARAT;3215;KABUPATEN KARAWANG;AGUSTUS;52291;TON GABAH KERING GILING;2018
177;32;JAWA BARAT;3215;KABUPATEN KARAWANG;SEPTEMBER;86049;TON GABAH KERING GILING;2018
178;32;JAWA BARAT;3215;KABUPATEN KARAWANG;OKTOBER;86824;TON GABAH KERING GILING;2018
179;32;JAWA BARAT;3215;KABUPATEN KARAWANG;NOVEMBER;163129;TON GABAH KERING GILING;2018
180;32;JAWA BARAT;3215;KABUPATEN KARAWANG;DESEMBER;110961;TON GABAH KERING GILING;2018
181;32;JAWA BARAT;3216;KABUPATEN BEKASI;JANUARI;90703;TON GABAH KERING GILING;2018
182;32;JAWA BARAT;3216;KABUPATEN BEKASI;FEBRUARI;19755;TON GABAH KERING GILING;2018
183;32;JAWA BARAT;3216;KABUPATEN BEKASI;MARET;57781;TON GABAH KERING GILING;2018
184;32;JAWA BARAT;3216;KABUPATEN BEKASI;APRIL;30253;TON GABAH KERING GILING;2018
185;32;JAWA BARAT;3216;KABUPATEN BEKASI;MEI;45327;TON GABAH KERING GILING;2018
186;32;JAWA BARAT;3216;KABUPATEN BEKASI;JUNI;99784;TON GABAH KERING GILING;2018
187;32;JAWA BARAT;3216;KABUPATEN BEKASI;JULI;31396;TON GABAH KERING GILING;2018
188;32;JAWA BARAT;3216;KABUPATEN BEKASI;AGUSTUS;26471;TON GABAH KERING GILING;2018
189;32;JAWA BARAT;3216;KABUPATEN BEKASI;SEPTEMBER;27920;TON GABAH KERING GILING;2018
190;32;JAWA BARAT;3216;KABUPATEN BEKASI;OKTOBER;43478;TON GABAH KERING GILING;2018
191;32;JAWA BARAT;3216;KABUPATEN BEKASI;NOVEMBER;40999;TON GABAH KERING GILING;2018
192;32;JAWA BARAT;3216;KABUPATEN BEKASI;DESEMBER;31118;TON GABAH KERING GILING;2018
193;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;JANUARI;2302;TON GABAH KERING GILING;2018
194;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;FEBRUARI;21591;TON GABAH KERING GILING;2018
195;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;MARET;33266;TON GABAH KERING GILING;2018
196;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;APRIL;10666;TON GABAH KERING GILING;2018
197;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;MEI;5710;TON GABAH KERING GILING;2018
198;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;JUNI;21621;TON GABAH KERING GILING;2018
199;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;JULI;30473;TON GABAH KERING GILING;2018
200;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;AGUSTUS;12866;TON GABAH KERING GILING;2018
201;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SEPTEMBER;10995;TON GABAH KERING GILING;2018
202;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;OKTOBER;5944;TON GABAH KERING GILING;2018
203;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;NOVEMBER;9694;TON GABAH KERING GILING;2018
204;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;DESEMBER;5808;TON GABAH KERING GILING;2018
205;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;JANUARI;500;TON GABAH KERING GILING;2018
206;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;FEBRUARI;23533;TON GABAH KERING GILING;2018
207;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;MARET;55965;TON GABAH KERING GILING;2018
208;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;APRIL;8976;TON GABAH KERING GILING;2018
209;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;MEI;3811;TON GABAH KERING GILING;2018
210;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;JUNI;588;TON GABAH KERING GILING;2018
211;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;JULI;26639;TON GABAH KERING GILING;2018
212;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;AGUSTUS;56761;TON GABAH KERING GILING;2018
213;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SEPTEMBER;15122;TON GABAH KERING GILING;2018
214;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;OKTOBER;2210;TON GABAH KERING GILING;2018
215;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;NOVEMBER;0;TON GABAH KERING GILING;2018
216;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;DESEMBER;293;TON GABAH KERING GILING;2018
217;32;JAWA BARAT;3271;KOTA BOGOR;JANUARI;67;TON GABAH KERING GILING;2018
218;32;JAWA BARAT;3271;KOTA BOGOR;FEBRUARI;10;TON GABAH KERING GILING;2018
219;32;JAWA BARAT;3271;KOTA BOGOR;MARET;21;TON GABAH KERING GILING;2018
220;32;JAWA BARAT;3271;KOTA BOGOR;APRIL;21;TON GABAH KERING GILING;2018
221;32;JAWA BARAT;3271;KOTA BOGOR;MEI;113;TON GABAH KERING GILING;2018
222;32;JAWA BARAT;3271;KOTA BOGOR;JUNI;102;TON GABAH KERING GILING;2018
223;32;JAWA BARAT;3271;KOTA BOGOR;JULI;10;TON GABAH KERING GILING;2018
224;32;JAWA BARAT;3271;KOTA BOGOR;AGUSTUS;0;TON GABAH KERING GILING;2018
225;32;JAWA BARAT;3271;KOTA BOGOR;SEPTEMBER;0;TON GABAH KERING GILING;2018
226;32;JAWA BARAT;3271;KOTA BOGOR;OKTOBER;8;TON GABAH KERING GILING;2018
